,SSBS,SSB,MaxAbundance,TotalAbundance,RescaledAbundance,Sample_midpoint,Latitude,Longitude,Study_common_taxon,Predominant_land_use,Max_linear_extent_metres,geometry
529,AD1_2007__Winfree 1  21,AD1_2007__Winfree 1 ,215.0,21.0,0.09767441860465116,2003-06-14,39.68968,-74.76746,Apidae,Primary vegetation,110.453610171873,POINT (-74.76746 39.68968)
544,AD1_2007__Winfree 1  36,AD1_2007__Winfree 1 ,215.0,57.0,0.2651162790697674,2003-06-14,39.71466,-74.88892,Apidae,Urban,110.453610171873,POINT (-74.88892 39.71466)
513,AD1_2007__Winfree 1  5,AD1_2007__Winfree 1 ,215.0,32.0,0.14883720930232558,2003-06-14,39.73462,-74.82397,Apidae,Primary vegetation,110.453610171873,POINT (-74.82397 39.73462)
535,AD1_2007__Winfree 1  27,AD1_2007__Winfree 1 ,215.0,25.0,0.11627906976744186,2003-06-14,39.7353,-74.70944,Apidae,Primary vegetation,110.453610171873,POINT (-74.70944 39.7353)
512,AD1_2007__Winfree 1  4,AD1_2007__Winfree 1 ,215.0,43.0,0.2,2003-06-14,39.74299,-74.83702,Apidae,Primary vegetation,110.453610171873,POINT (-74.83702 39.74299)
531,AD1_2007__Winfree 1  23,AD1_2007__Winfree 1 ,215.0,17.0,0.07906976744186046,2003-06-14,39.77543,-74.77632,Apidae,Primary vegetation,110.453610171873,POINT (-74.77632 39.77543)
526,AD1_2007__Winfree 1  18,AD1_2007__Winfree 1 ,215.0,46.0,0.21395348837209302,2003-06-14,39.7814,-74.80246,Apidae,Primary vegetation,110.453610171873,POINT (-74.80246 39.7814)
521,AD1_2007__Winfree 1  13,AD1_2007__Winfree 1 ,215.0,35.0,0.16279069767441862,2003-06-14,39.78423,-74.66954,Apidae,Primary vegetation,110.453610171873,POINT (-74.66954 39.78423)
536,AD1_2007__Winfree 1  28,AD1_2007__Winfree 1 ,215.0,97.0,0.4511627906976744,2003-06-14,39.80443,-74.7533,Apidae,Cropland,110.453610171873,POINT (-74.7533 39.80443)
532,AD1_2007__Winfree 1  24,AD1_2007__Winfree 1 ,215.0,48.0,0.22325581395348837,2003-06-14,39.81929,-74.84072,Apidae,Primary vegetation,110.453610171873,POINT (-74.84072 39.81929)
539,AD1_2007__Winfree 1  31,AD1_2007__Winfree 1 ,215.0,17.0,0.07906976744186046,2003-06-14,39.820001,-74.792238,Apidae,Primary vegetation,110.453610171873,POINT (-74.792238 39.820001)
528,AD1_2007__Winfree 1  20,AD1_2007__Winfree 1 ,215.0,44.0,0.20465116279069767,2003-06-14,39.8207,-74.76121,Apidae,Urban,110.453610171873,POINT (-74.76121 39.8207)
515,AD1_2007__Winfree 1  7,AD1_2007__Winfree 1 ,215.0,54.0,0.25116279069767444,2003-06-14,39.83177,-74.71041,Apidae,Cropland,110.453610171873,POINT (-74.71041 39.83177)
514,AD1_2007__Winfree 1  6,AD1_2007__Winfree 1 ,215.0,116.0,0.5395348837209303,2003-06-14,39.84177,-74.68248,Apidae,Primary vegetation,110.453610171873,POINT (-74.68248 39.84177)
543,AD1_2007__Winfree 1  35,AD1_2007__Winfree 1 ,215.0,56.0,0.26046511627906976,2003-06-14,39.84288,-74.78793,Apidae,Primary vegetation,110.453610171873,POINT (-74.78793 39.84288)
537,AD1_2007__Winfree 1  29,AD1_2007__Winfree 1 ,215.0,118.0,0.5488372093023256,2003-06-14,39.8474,-74.70463,Apidae,Primary vegetation,110.453610171873,POINT (-74.70463 39.8474)
516,AD1_2007__Winfree 1  8,AD1_2007__Winfree 1 ,215.0,38.0,0.17674418604651163,2003-06-14,39.84981,-74.82138,Apidae,Primary vegetation,110.453610171873,POINT (-74.82138 39.84981)
548,AD1_2007__Winfree 1  40,AD1_2007__Winfree 1 ,215.0,148.0,0.6883720930232559,2003-06-14,39.85444,-74.72514,Apidae,Primary vegetation,110.453610171873,POINT (-74.72514 39.85444)
545,AD1_2007__Winfree 1  37,AD1_2007__Winfree 1 ,215.0,28.0,0.13023255813953488,2003-06-14,39.90927,-74.60178,Apidae,Primary vegetation,110.453610171873,POINT (-74.60178 39.90927)
540,AD1_2007__Winfree 1  32,AD1_2007__Winfree 1 ,215.0,202.0,0.9395348837209302,2003-06-14,39.93061,-74.63833,Apidae,Cropland,110.453610171873,POINT (-74.63833 39.93061)
530,AD1_2007__Winfree 1  22,AD1_2007__Winfree 1 ,215.0,44.0,0.20465116279069767,2003-06-14,39.95009,-74.49884,Apidae,Primary vegetation,110.453610171873,POINT (-74.49884 39.95009)
547,AD1_2007__Winfree 1  39,AD1_2007__Winfree 1 ,215.0,26.0,0.12093023255813953,2003-06-14,39.96429,-74.51152,Apidae,Primary vegetation,110.453610171873,POINT (-74.51152 39.96429)
517,AD1_2007__Winfree 1  9,AD1_2007__Winfree 1 ,215.0,32.0,0.14883720930232558,2003-06-14,39.98476,-74.55072,Apidae,Primary vegetation,110.453610171873,POINT (-74.55072 39.98476)
2171,AD1_2011__Cameron 1  151,AD1_2011__Cameron 1 ,238.0,113.33333333333334,0.4761904761904762,2009-07-18,40.923923,-73.12382,Hymenoptera,Cannot decide,,POINT (-73.12382 40.923923)
2174,AD1_2011__Cameron 1  154,AD1_2011__Cameron 1 ,238.0,119.0,0.5,2009-07-18,40.94435,-72.83605,Hymenoptera,Cannot decide,,POINT (-72.83605 40.94435)
2169,AD1_2011__Cameron 1  149,AD1_2011__Cameron 1 ,238.0,105.77777777777777,0.4444444444444444,2009-07-18,41.60235,-73.9116,Hymenoptera,Cannot decide,,POINT (-73.9116 41.60235)
2172,AD1_2011__Cameron 1  152,AD1_2011__Cameron 1 ,238.0,196.44444444444443,0.8253968253968254,2009-07-16,41.76643,-72.89947,Hymenoptera,Cannot decide,,POINT (-72.89947 41.76643)
2177,AD1_2011__Cameron 1  157,AD1_2011__Cameron 1 ,238.0,113.33333333333333,0.47619047619047616,2009-07-17,41.86087,-72.48312,Hymenoptera,Cannot decide,,POINT (-72.48312 41.86087)
2170,AD1_2011__Cameron 1  150,AD1_2011__Cameron 1 ,238.0,103.88888888888889,0.4365079365079365,2009-07-16,42.06543,-73.32829,Hymenoptera,Cannot decide,,POINT (-73.32829 42.06543)
2175,AD1_2011__Cameron 1  155,AD1_2011__Cameron 1 ,238.0,136.0,0.5714285714285714,2009-07-16,42.24344,-72.7183,Hymenoptera,Cannot decide,,POINT (-72.7183 42.24344)
534,AD1_2007__Winfree 1  26,AD1_2007__Winfree 1 ,215.0,22.0,0.10232558139534884,2003-06-14,39.93368,-74.58017,Apidae,Primary vegetation,110.453610171873,POINT (-74.58017 39.93368)
510,AD1_2007__Winfree 1  2,AD1_2007__Winfree 1 ,215.0,90.0,0.4186046511627907,2003-06-14,39.97018,-74.58686,Apidae,Urban,110.453610171873,POINT (-74.58686 39.97018)
511,AD1_2007__Winfree 1  3,AD1_2007__Winfree 1 ,215.0,30.0,0.13953488372093023,2003-06-14,39.97742,-74.56954,Apidae,Primary vegetation,110.453610171873,POINT (-74.56954 39.97742)
2165,AD1_2011__Cameron 1  145,AD1_2011__Cameron 1 ,238.0,147.33333333333331,0.619047619047619,2009-07-19,40.76025,-77.83848,Hymenoptera,Cannot decide,,POINT (-77.83848 40.76025)
2167,AD1_2011__Cameron 1  147,AD1_2011__Cameron 1 ,238.0,92.55555555555556,0.3888888888888889,2009-07-19,41.37778,-76.83675,Hymenoptera,Cannot decide,,POINT (-76.83675 41.37778)
2164,AD1_2011__Cameron 1  144,AD1_2011__Cameron 1 ,238.0,136.0,0.5714285714285714,2009-07-11,41.40279,-78.02639,Hymenoptera,Cannot decide,,POINT (-78.02639 41.40279)
25039,RB1_2007__Flinn 1 SV7 21,RB1_2007__Flinn 1 SV7,382.0,222.0,0.581151832460733,2007-07-02,42.31444444444444,-76.28777777777778,Tracheophyta,Primary vegetation,100.0,POINT (-76.28777777777778 42.31444444444444)
25040,RB1_2007__Flinn 1 SV7 22,RB1_2007__Flinn 1 SV7,382.0,236.0,0.6178010471204188,2007-07-02,42.31444444444444,-76.28888888888889,Tracheophyta,Mature secondary vegetation,100.0,POINT (-76.28888888888889 42.31444444444444)
25054,RB1_2007__Flinn 1 WV12 36,RB1_2007__Flinn 1 WV12,382.0,159.0,0.4162303664921466,2007-07-02,42.316944444444445,-76.47527777777778,Tracheophyta,Mature secondary vegetation,100.0,POINT (-76.47527777777778 42.316944444444445)
25053,RB1_2007__Flinn 1 WV12 35,RB1_2007__Flinn 1 WV12,382.0,200.0,0.5235602094240838,2007-07-02,42.316944444444445,-76.4738888888889,Tracheophyta,Primary vegetation,100.0,POINT (-76.4738888888889 42.316944444444445)
2075,AD1_2011__Cameron 1  55,AD1_2011__Cameron 1 ,238.0,36.83333333333333,0.15476190476190474,2009-07-31,44.126801,-68.350615,Hymenoptera,Cannot decide,,POINT (-68.350615 44.126801)
2072,AD1_2011__Cameron 1  52,AD1_2011__Cameron 1 ,238.0,107.66666666666666,0.45238095238095233,2009-08-07,44.155752,-68.66653,Hymenoptera,Cannot decide,,POINT (-68.66653 44.155752)
2074,AD1_2011__Cameron 1  54,AD1_2011__Cameron 1 ,238.0,141.66666666666666,0.5952380952380952,2009-07-28,44.4006,-68.5192,Hymenoptera,Cannot decide,,POINT (-68.5192 44.4006)
2073,AD1_2011__Cameron 1  53,AD1_2011__Cameron 1 ,238.0,147.33333333333331,0.619047619047619,2009-08-01,44.410503,-68.64705,Hymenoptera,Cannot decide,,POINT (-68.64705 44.410503)
2076,AD1_2011__Cameron 1  56,AD1_2011__Cameron 1 ,238.0,102.0,0.42857142857142855,2009-08-06,44.667355,-68.270784,Hymenoptera,Cannot decide,,POINT (-68.270784 44.667355)
2148,AD1_2011__Cameron 1  128,AD1_2011__Cameron 1 ,238.0,98.22222222222221,0.4126984126984127,2009-07-10,33.94193,-82.36272,Hymenoptera,Cannot decide,,POINT (-82.36272 33.94193)
2156,AD1_2011__Cameron 1  136,AD1_2011__Cameron 1 ,238.0,7.555555555555555,0.031746031746031744,2009-07-10,34.15635,-80.574271,Hymenoptera,Cannot decide,,POINT (-80.574271 34.15635)
2153,AD1_2011__Cameron 1  133,AD1_2011__Cameron 1 ,238.0,52.888888888888886,0.2222222222222222,2009-07-10,34.44358,-81.75544,Hymenoptera,Cannot decide,,POINT (-81.75544 34.44358)
2143,AD1_2011__Cameron 1  123,AD1_2011__Cameron 1 ,238.0,18.88888888888889,0.07936507936507936,2009-07-09,33.96253,-83.53266,Hymenoptera,Cannot decide,,POINT (-83.53266 33.96253)
2141,AD1_2011__Cameron 1  121,AD1_2011__Cameron 1 ,238.0,94.44444444444444,0.3968253968253968,2009-07-09,34.26571,-84.27237,Hymenoptera,Cannot decide,,POINT (-84.27237 34.26571)
2138,AD1_2011__Cameron 1  118,AD1_2011__Cameron 1 ,238.0,28.333333333333336,0.11904761904761905,2009-07-09,34.66514,-84.71028,Hymenoptera,Cannot decide,,POINT (-84.71028 34.66514)
2136,AD1_2011__Cameron 1  116,AD1_2011__Cameron 1 ,238.0,43.44444444444444,0.18253968253968253,2009-07-08,34.67863,-85.12742,Hymenoptera,Cannot decide,,POINT (-85.12742 34.67863)
2139,AD1_2011__Cameron 1  119,AD1_2011__Cameron 1 ,238.0,62.33333333333333,0.26190476190476186,2009-07-14,35.24102,-84.31819,Hymenoptera,Cannot decide,,POINT (-84.31819 35.24102)
2142,AD1_2011__Cameron 1  122,AD1_2011__Cameron 1 ,238.0,75.55555555555556,0.31746031746031744,2009-07-14,35.60898,-83.93521,Hymenoptera,Cannot decide,,POINT (-83.93521 35.60898)
2158,AD1_2011__Cameron 1  138,AD1_2011__Cameron 1 ,238.0,88.77777777777777,0.37301587301587297,2009-07-11,34.72643,-80.09062,Hymenoptera,Cannot decide,,POINT (-80.09062 34.72643)
2159,AD1_2011__Cameron 1  139,AD1_2011__Cameron 1 ,238.0,98.22222222222221,0.4126984126984127,2009-07-11,35.043611,-80.025,Hymenoptera,Cannot decide,,POINT (-80.025 35.043611)
24737,LH2_2014__Jackson 1 SC10 45,LH2_2014__Jackson 1 SC10,646.0,595.0,0.9210526315789473,2010-11-08,35.653592,-82.437208,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.437208 35.653592)
24735,LH2_2014__Jackson 1 SC10 43,LH2_2014__Jackson 1 SC10,646.0,425.0,0.6578947368421053,2010-11-08,35.653592,-82.437208,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.437208 35.653592)
24739,LH2_2014__Jackson 1 SC10 47,LH2_2014__Jackson 1 SC10,646.0,646.0,1.0,2010-11-08,35.653592,-82.437208,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.437208 35.653592)
24736,LH2_2014__Jackson 1 SC10 44,LH2_2014__Jackson 1 SC10,646.0,409.0,0.6331269349845201,2010-11-08,35.653592,-82.437208,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.437208 35.653592)
24738,LH2_2014__Jackson 1 SC10 46,LH2_2014__Jackson 1 SC10,646.0,259.0,0.40092879256965946,2010-11-08,35.653592,-82.437208,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.437208 35.653592)
24749,LH2_2014__Jackson 1 SC9 57,LH2_2014__Jackson 1 SC9,646.0,421.0,0.651702786377709,2010-11-08,35.656259,-82.437577,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.437577 35.656259)
24748,LH2_2014__Jackson 1 SC9 56,LH2_2014__Jackson 1 SC9,646.0,300.0,0.46439628482972134,2010-11-08,35.656259,-82.437577,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.437577 35.656259)
24746,LH2_2014__Jackson 1 SC9 54,LH2_2014__Jackson 1 SC9,646.0,264.0,0.4086687306501548,2010-11-08,35.656259,-82.437577,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.437577 35.656259)
24747,LH2_2014__Jackson 1 SC9 55,LH2_2014__Jackson 1 SC9,646.0,449.0,0.695046439628483,2010-11-08,35.656259,-82.437577,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.437577 35.656259)
24745,LH2_2014__Jackson 1 SC9 53,LH2_2014__Jackson 1 SC9,646.0,515.0,0.7972136222910217,2010-11-08,35.656259,-82.437577,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.437577 35.656259)
24742,LH2_2014__Jackson 1 SC11 50,LH2_2014__Jackson 1 SC11,646.0,378.0,0.5851393188854489,2010-11-08,35.657741,-82.436215,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.436215 35.657741)
24741,LH2_2014__Jackson 1 SC11 49,LH2_2014__Jackson 1 SC11,646.0,183.0,0.28328173374613,2010-11-08,35.657741,-82.436215,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.436215 35.657741)
24744,LH2_2014__Jackson 1 SC11 52,LH2_2014__Jackson 1 SC11,646.0,312.0,0.48297213622291024,2010-11-08,35.657741,-82.436215,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.436215 35.657741)
24740,LH2_2014__Jackson 1 SC11 48,LH2_2014__Jackson 1 SC11,646.0,414.0,0.6408668730650154,2010-11-08,35.657741,-82.436215,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.436215 35.657741)
24743,LH2_2014__Jackson 1 SC11 51,LH2_2014__Jackson 1 SC11,646.0,306.0,0.47368421052631576,2010-11-08,35.657741,-82.436215,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.436215 35.657741)
24695,LH2_2014__Jackson 1 MC12 3,LH2_2014__Jackson 1 MC12,646.0,57.0,0.08823529411764706,2010-11-08,35.700151,-82.399254,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.399254 35.700151)
24694,LH2_2014__Jackson 1 MC12 2,LH2_2014__Jackson 1 MC12,646.0,44.0,0.06811145510835913,2010-11-08,35.700151,-82.399254,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.399254 35.700151)
24697,LH2_2014__Jackson 1 MC12 5,LH2_2014__Jackson 1 MC12,646.0,94.0,0.14551083591331268,2010-11-08,35.700151,-82.399254,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.399254 35.700151)
24696,LH2_2014__Jackson 1 MC12 4,LH2_2014__Jackson 1 MC12,646.0,50.0,0.07739938080495357,2010-11-08,35.700151,-82.399254,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.399254 35.700151)
24693,LH2_2014__Jackson 1 MC12 1,LH2_2014__Jackson 1 MC12,646.0,205.0,0.3173374613003096,2010-11-08,35.700151,-82.399254,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.399254 35.700151)
2149,AD1_2011__Cameron 1  129,AD1_2011__Cameron 1 ,238.0,156.77777777777777,0.6587301587301587,2009-07-14,35.74497,-82.2776,Hymenoptera,Cannot decide,,POINT (-82.2776 35.74497)
24718,LH2_2014__Jackson 1 NF5 26,LH2_2014__Jackson 1 NF5,646.0,102.0,0.15789473684210525,2010-11-08,35.797547,-82.365094,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.365094 35.797547)
24719,LH2_2014__Jackson 1 NF5 27,LH2_2014__Jackson 1 NF5,646.0,323.0,0.5,2010-11-08,35.797547,-82.365094,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.365094 35.797547)
24717,LH2_2014__Jackson 1 NF5 25,LH2_2014__Jackson 1 NF5,646.0,393.0,0.608359133126935,2010-11-08,35.797547,-82.365094,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.365094 35.797547)
24716,LH2_2014__Jackson 1 NF5 24,LH2_2014__Jackson 1 NF5,646.0,371.0,0.5743034055727554,2010-11-08,35.797547,-82.365094,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.365094 35.797547)
24715,LH2_2014__Jackson 1 NF5 23,LH2_2014__Jackson 1 NF5,646.0,415.0,0.6424148606811145,2010-11-08,35.797547,-82.365094,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.365094 35.797547)
24726,LH2_2014__Jackson 1 NF7 34,LH2_2014__Jackson 1 NF7,646.0,84.0,0.13003095975232198,2010-11-08,35.799697,-82.364549,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.364549 35.799697)
24728,LH2_2014__Jackson 1 NF7 36,LH2_2014__Jackson 1 NF7,646.0,62.0,0.09597523219814241,2010-11-08,35.799697,-82.364549,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.364549 35.799697)
24729,LH2_2014__Jackson 1 NF7 37,LH2_2014__Jackson 1 NF7,646.0,107.0,0.16563467492260062,2010-11-08,35.799697,-82.364549,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.364549 35.799697)
24727,LH2_2014__Jackson 1 NF7 35,LH2_2014__Jackson 1 NF7,646.0,116.0,0.17956656346749225,2010-11-08,35.799697,-82.364549,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.364549 35.799697)
24725,LH2_2014__Jackson 1 NF7 33,LH2_2014__Jackson 1 NF7,646.0,122.0,0.18885448916408668,2010-11-08,35.799697,-82.364549,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.364549 35.799697)
24708,LH2_2014__Jackson 1 NF1 16,LH2_2014__Jackson 1 NF1,646.0,202.0,0.3126934984520124,2010-11-08,35.800943,-82.361692,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.361692 35.800943)
24709,LH2_2014__Jackson 1 NF1 17,LH2_2014__Jackson 1 NF1,646.0,201.0,0.3111455108359133,2010-11-08,35.800943,-82.361692,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.361692 35.800943)
24707,LH2_2014__Jackson 1 NF1 15,LH2_2014__Jackson 1 NF1,646.0,321.0,0.4969040247678019,2010-11-08,35.800943,-82.361692,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.361692 35.800943)
24713,LH2_2014__Jackson 1 NF4 21,LH2_2014__Jackson 1 NF4,646.0,379.0,0.586687306501548,2010-11-08,35.811354,-82.359084,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.359084 35.811354)
24714,LH2_2014__Jackson 1 NF4 22,LH2_2014__Jackson 1 NF4,646.0,258.0,0.3993808049535604,2010-11-08,35.811354,-82.359084,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.359084 35.811354)
24710,LH2_2014__Jackson 1 NF4 18,LH2_2014__Jackson 1 NF4,646.0,343.0,0.5309597523219814,2010-11-08,35.811354,-82.359084,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.359084 35.811354)
24712,LH2_2014__Jackson 1 NF4 20,LH2_2014__Jackson 1 NF4,646.0,407.0,0.6300309597523219,2010-11-08,35.811354,-82.359084,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.359084 35.811354)
24711,LH2_2014__Jackson 1 NF4 19,LH2_2014__Jackson 1 NF4,646.0,234.0,0.3622291021671827,2010-11-08,35.811354,-82.359084,Hymenoptera,Mature secondary vegetation,98.95,POINT (-82.359084 35.811354)
24723,LH2_2014__Jackson 1 NF6 31,LH2_2014__Jackson 1 NF6,646.0,132.0,0.2043343653250774,2010-11-08,35.812423,-82.362726,Hymenoptera,Intermediate secondary vegetation,98.95,POINT (-82.362726 35.812423)
